appid,wikidata_name,esrb_rating,hltb_id,igdb_id,metacritic_id,opencritic_id,game_engine
733550,Clash of Magic VR,,,clash-of-magic-vr,,,Unreal Engine 4
865870,SpaceTone,,,spacetone,,,Q63966
1191330,Inferna,,,inferna,,,
963150,Pirate Survival Fantasy Shooter,,,pirate-shooter-fantasy-survival,,,
756260,Kingdom Defense,,,kingdom-defense,,,
941340,The Man with the Dog,,,the-man-with-the-dog,,,
716630,Battlevoid: Sector Siege,,,battlevoid-sector-siege,,,
612740,Bokida - Heartfelt Reunion,,,bokida-heartfelt-reunion,,4350,
601120,Brain Machine,,,brain-machine,,,
527310,Bubble Labs VR,,,bubble-labs-vr,,,
653780,Defend Your Kingdom,,,defend-your-kingdom,,,
727530,Expelled,,,expelled,,,
732520,Hinterhalt,,,hinterhalt,,,
515470,Hyper color ball,,,hyper-color-ball,,,
657530,Impresja,,,impresja,,,Q63966
686340,Insanity VR: Last Score,,,insanity-vr-last-score,,,
517470,King of Booze: Drinking Game,,,king-of-booze-drinking-game,,,
639280,Lander 8009 VR,,,lander-8009-vr,,,
654850,Masked Forces: Zombie Survival,,,masked-forces-zombie-survival,,,
633150,Mythlink,,,mythlink,,,Q63966
505210,Neon Space 2,,,neon-space-2,,,Q63966
542550,Plankton,,,plankton,,,
569350,RoboCritters,,,robocritters,,,
601620,Room Designer VR,,,room-designer-vr,,,
723070,Scrolls of the Lord,,,scrolls-of-the-lord,,,Unreal Engine 4
748730,Seek Not a Lighthouse,,,seek-not-a-lighthouse,,9815,
690950,Skeleton Sprint,,,skeleton-sprint,,,
756190,Sky Road,,,sky-road,,,
510780,SkyBoats,,,skyboats,,,
740390,Terrorist Elimination,,,terrorist-elimination,,,
533770,The Writer: A Change Of Identity,,,the-writer-a-change-of-identity,,,Multimedia Fusion
652280,Unimersiv,,,unimersiv,,,
612810,VALIANT KNIGHTS Typing Battle,,,valiant-knights-typing-battle,,,
601110,Twin Roads,,,twin-roads,,,Q63966
640380,UBERMOSH Vol.5,,,ubermosh-vol-dot-5,,,
717830,Waiting for the Loop,,,waiting-for-the-loop,,,
590530,World Builder,,,world-builder,,,
1127700,Reverse Collapse: Code Name Bakery,,,reverse-collapse-code-name-bakery,,17132,
815110,Conc Jump,,,conc-jump,,,
996830,Rules of The Mafia: Trade & Blood,,,rules-of-the-mafia-trade-and-blood,,,
967330,Starfighter: Infinity,,,starfighter-infinity,,,
964090,License To Clone,,,license-to-clone,,,
955860,Woodboy,,,woodboy,,,
1180450,Exitium,,,exitium--1,,,
696960,Helios Battle Universe,,,helios-battle-universe,,,
796920,Xenoform,,,xenoform,,,
801870,Ramen,,,ramen,,,
291450,Smugglers V,,,smugglers-v,,,
711810,Never Split the Party,,,never-split-the-party,,,
1582070,The Forgotten Isles,,,the-forgotten-isles,,,
1442380,Book of Shadows,,,book-of-shadows,,,Q63966
1395190,BLASK 2,,,blask-2,,,
1687877,Tiger Tank 59 Ⅰ Break The Fog MP068,,,tiger-tank-59-i-break-the-fog-mp068,,,
1643947,Tiger Tank 59 Ⅰ Mission Pack 078,,,tiger-tank-59-i-mission-pack-078,,,
503460,Security Hole,,,security-hole,,,Q63966
2197910,Dawnlands,,,dawnlands,,,
2345380,100% Challenge,,,100-percent-challenge--1,,,
1911600,Lost Alone Ep.3 - Nonnina,,,lost-alone-ep-dot-3-granny,,,
2181750,Black Emperor,,,black-emperor--1,,,
1755150,"Check, please! : Restaurant Simulator",,,check-please-restaurant-simulator,,,
1599210,Line of War,,,line-of-war,,,
1779720,Skeletal Skism,,,skeletal-skism,,,
1594560,Chrome Switcher,,,chrome-switcher,,,
2471780,Lost Connections,,,lost-connections,,,
1571100,Passpartout 2: The Lost Artist,,,passpartout-2-the-lost-artist,,14525,
732930,Wunderling DX,,,wunderling-dx,,,
1834340,Unmetaverse,,,unmetaverse,,,
1538240,Youmu Konpaku & Dungeon of Lewd Creatures,,,youmu-konpaku-and-dungeon-of-lewd-creatures,,,
1689420,Road Bustle,,,road-bustle,,,
2281610,Scrappage,,,scrappage,,,
1492140,"Club Hentai: Girls, Love, Sex",,,club-hentai-girls-love-sex,,,
1722750,Halt The Heist!,,,halt-the-heist,,,
2258180,Days of Doom,Everyone 10+,,days-of-doom,,15540,
1977910,Shinonome,,,shinonome,,,
351730,On My Own,,,on-my-own,,2452,
2459960,Perfect Landing,,,perfect-landing,,,
